,depth,mag,stations
733,275,4,14
734,498,4.2,14
735,162,4.5,18
736,78,4.7,44
737,134,4.5,17
738,554,4.1,15
739,608,4.6,13
740,367,4.3,25
741,599,4.6,30
742,45,5.2,65
743,50,4.6,22
744,162,4.7,36
745,302,5,65
746,57,5.2,49
747,203,4.4,20
748,66,4.6,18
749,591,4.5,18
750,440,4,12
751,611,4.2,20
752,57,5.3,69
753,627,5.9,119
754,89,4.9,42
755,500,4.5,34
756,264,4.4,14
757,127,5.4,75
758,85,5.3,86
759,50,5.1,47
760,75,4.1,20
761,182,4.3,17
762,619,4.5,18
763,223,4.1,10
764,156,5.1,70
765,46,5.3,71
766,50,4.5,29
767,230,4.1,16
768,184,4.4,26
769,188,4.7,24
770,80,4,10
771,86,5.1,61
772,391,4,16
773,199,4.3,21
774,592,4.3,21
775,595,4,22
776,618,4.1,10
777,213,4.4,17
778,616,4.3,10
779,175,4.2,12
780,589,4,12
781,83,4.5,25
782,119,4.7,32
783,70,5,48
784,74,4.3,22
785,40,5.1,54
786,87,4.7,34
787,63,5.3,69
788,537,5,63
789,47,4.5,29
790,490,5,77
791,593,4.1,16
792,644,4.9,27
793,576,4.1,16
794,199,4,16
795,589,4.4,27
796,178,4.5,19
797,248,4.4,33
798,500,4.5,37
799,71,4.3,19
800,568,4.3,36
801,42,5,36
802,510,4.5,37
803,97,4.5,13
804,663,4.4,30
805,625,4.5,35
806,210,4.1,22
807,557,4.9,78
808,582,4.7,27
809,402,4.3,18
810,474,4.6,32
811,577,4.6,43
812,56,5.2,49
813,43,4.5,19
814,118,4.3,11
815,544,4.6,52
816,532,4,14
817,237,4.5,39
818,111,4.8,30
819,595,4.6,30
820,603,4.1,11
821,505,4.9,50
822,100,4.7,40
823,587,4.1,23
824,364,4.3,20
825,100,4.4,17
826,350,4,12
827,228,4.8,15
828,93,4.4,25
829,66,4.4,34
830,225,4.6,21
831,334,4.2,28
832,70,4.1,15
833,220,4.2,18
834,397,4,12
835,326,4.1,15
836,121,4.1,17
837,209,4.7,29
838,510,4.8,44
839,54,5.1,44
840,242,5,41
841,574,4.8,38
842,82,4.4,39
843,102,5,36
844,43,5.2,56
845,432,4.2,19
846,580,4.1,16
847,464,4.8,60
848,479,4.5,27
849,581,5,54
850,513,5.1,81
851,77,4.1,16
852,68,4.7,41
853,71,5.2,59
854,68,4.8,48
855,586,4.5,33
856,243,4,11
857,658,4.7,49
858,315,4.1,15
859,210,4.3,17
860,278,4.3,17
861,638,4,14
862,615,4.7,51
863,567,4.1,27
864,560,4.2,13
865,99,4.8,36
866,266,4.8,31
867,397,4.2,15
868,180,4.2,29
869,40,5.7,78
870,242,6,132
871,530,4.2,20
872,133,4.5,32
873,62,4.9,36
874,580,4.4,22
875,530,4,15
876,566,4.3,20
877,501,4.2,23
878,548,4.5,30
879,587,4.8,31
880,592,4.4,28
881,221,4.2,18
882,560,4.2,12
883,94,5,31
884,139,4.2,15
885,162,5.2,64
886,562,4.5,30
887,204,4.6,35
888,56,5,22
889,49,5,52
890,100,5.4,71
891,231,4.8,28
892,601,4.2,21
893,42,5.5,70
894,180,4.3,25
895,559,4.1,16
896,524,4.4,22
897,69,4.9,74
898,594,4.5,45
899,262,4.9,56
900,538,4,33
901,331,4.5,27
902,48,5,40
903,47,4.9,47
904,558,4.5,31
905,524,4.2,16
906,545,4.2,37
907,477,4.2,34
908,129,5.2,30
909,268,4.3,21
910,117,5.1,43
911,541,4.6,50
912,112,4.6,14
913,162,4.4,36
914,609,4.4,32
915,76,4.9,64
916,61,5.1,40
917,202,4.2,28
918,90,4.7,30
919,133,4,14
920,589,5.6,115
921,190,5.3,81
922,138,5,82
923,598,4.3,27
924,600,4.1,11
925,162,5.1,67
926,626,4.5,36
927,137,4.9,22
928,57,5.4,61
929,201,4.7,40
930,69,4.8,29
931,219,4.5,28
932,553,4.2,23
933,524,4.6,50
934,51,4.6,28
935,107,5.6,121
936,44,5.4,110
937,574,4,20
938,128,5.2,72
939,568,4.2,12
940,583,4.7,57
941,622,4.3,15
942,193,4.8,27
943,544,4.6,30
944,118,5.4,88
945,51,4.8,27
946,63,4.6,22
947,442,4.2,22
948,87,5.5,67
949,61,4.7,16
950,60,4.7,35
951,561,4.5,32
952,138,5.5,78
953,174,4.5,34
954,543,4.1,21
955,530,4,23
956,497,4.3,32
957,63,4.7,27
958,82,4.9,50
959,605,4.5,31
960,234,4.7,55
961,41,4.5,22
962,40,4.8,42
963,137,4.3,20
964,223,4.1,23
965,109,5.4,61
966,595,4.1,26
967,512,4.8,40
968,613,4.2,20
969,60,4.8,25
970,43,5.4,45
971,172,4.4,14
972,54,5.2,74
973,68,4.7,23
974,217,4.9,35
975,102,4.9,27
976,178,4.2,32
977,251,4.4,47
978,42,4.4,17
979,575,4.3,11
980,43,4.9,20
981,577,5,67
982,42,4.7,21
983,75,4.9,49
984,71,4.3,22
985,60,4.5,17
986,291,4.2,16
987,125,5.2,51
988,69,4.8,27
989,614,4,12
990,108,4.7,33
991,575,4.3,18
992,409,4.3,27
993,243,4.9,65
994,642,4,17
995,45,4.2,10
996,470,4.4,22
997,248,4.7,35
998,244,4.5,34
999,40,4.5,14
1000,165,6,119
1001,181,4,10
1002,79,3.6,65
1003,593,3.7,30
1004,93,3.7,26
1005,49,4,14
1006,57,3.7,34
1007,583,3.5,132
1008,63,3.8,29
1009,41,3.2,14
1010,611,3.8,29
1011,561,3.8,14
1012,491,3.2,16
1013,107,3.9,14
1014,497,4,31
1015,209,3.8,15
1016,129,3.8,10
1017,199,3.8,30
1018,43,4,54
1019,89,3.8,81
1020,491,3.6,10
1021,49,3.6,35
1022,221,3.8,13
1023,59,3.5,74
1024,129,3.6,26
1025,93,3.2,71
1026,523,3.8,20
1027,211,3.3,26
1028,621,3.9,129
1029,593,4,72
1030,59,3.8,27
1031,657,3.5,44
1032,185,3.5,41
1033,153,3.9,35
1034,51,3.7,59
1035,449,3.7,24
1036,397,3.9,18
1037,41,2.7,41
1038,139,3.7,51
1039,521,3.6,49
1040,99,3.9,19
1041,533,3.8,15
1042,285,3.8,25
1043,297,3.7,35
1044,641,3.7,22
1045,205,4,63
1046,177,3.6,49
1047,45,3.9,36
1048,99,3.9,19
1049,595,3.8,67
1050,59,3.4,29
1051,561,3.1,35
1052,541,3.9,17
1053,325,3.8,32
1054,117,2.3,31
1055,479,3.9,49
1056,401,3.5,109
1057,133,3.4,15
1058,575,3.4,65
1059,553,3.5,23
1060,221,3.5,17
1061,147,3.9,29
1062,51,3.5,30
1063,497,3.3,14
1064,41,3.9,11
1065,85,3.5,37
1066,599,3.7,67
1067,573,3.9,55
1068,45,4,13
1069,101,3.7,14
1070,217,3.6,76
1071,227,3.4,36
1072,259,4,50
1073,125,3.3,23
1074,99,3.1,31
1075,69,3.9,61
1076,503,3,98
1077,589,3.8,25
1078,215,3.6,34
1079,259,3.9,18
1080,69,3.2,29
1081,245,3.9,22
1082,65,3.7,50
1083,81,3.6,19
1084,279,3.9,28
1085,389,3.9,33
1086,217,4,30
1087,229,3.9,24
1088,97,3.9,86
1089,559,3.9,28
1090,211,3.7,49
1091,475,3.8,25
1092,97,3.4,49
1093,243,3.7,16
1094,565,3.9,19
1095,243,3.6,49
1096,539,3.1,49
1097,111,3.7,21
1098,143,3.5,47
1099,41,3.6,25
1100,89,3,29
1101,477,3.8,50
1102,523,3.9,12
1103,591,3.6,21
1104,123,3.6,47
1105,45,3.2,23
1106,111,3.9,73
1107,99,3.9,50
1108,201,3.9,34
1109,163,3.9,23
1110,217,3.8,26
1111,467,3.8,11
1112,63,3.9,35
1113,93,3.6,17
1114,69,3.5,15
1115,65,3.1,20
1116,393,4,19
1117,259,3.7,38
1118,93,3.8,45
1119,609,3.3,22
1120,153,4,28
1121,533,3.2,40
1122,553,3.2,23
1123,467,3.4,33
1124,535,3.8,21
1125,591,3.8,123
1126,565,3.8,27
1127,231,3.6,59
1128,133,3.8,98
1129,409,3.9,21
1130,69,3.8,27
1131,53,4,48
1132,269,4,110
1133,221,3.3,23
1134,189,3.6,61
1135,43,3.6,30
1136,67,3.8,110
1137,405,4,32
1138,631,3.9,30
1139,111,3.8,31
1140,165,3.3,35
1141,81,3.8,30
1142,511,4,79
1143,123,3.4,21
1144,607,3.8,50
1145,497,3.8,39
1146,587,3.8,34
1147,587,3.2,34
1148,75,3.4,43
1149,41,3.4,40
1150,53,3.8,24
1151,117,4,48
1152,245,4,42
1153,81,3.3,49
1154,129,3.8,49
1155,123,3.7,12
1156,51,3.8,18
1157,43,3.9,23
1158,561,3,21
1159,293,4,29
1160,101,3.6,12
1161,293,3.9,16
1162,247,3.8,50
1163,99,3.6,17
1164,51,3.7,70
1165,609,3.7,23
1166,165,3.9,26
1167,433,3.4,27
1168,211,3.3,17
1169,423,4,31
1170,53,3.8,10
1171,589,3.5,42
1172,489,3.6,12
1173,265,3.8,21
1174,175,3,115
1175,211,3.8,21
1176,499,3.9,24
1177,305,3.9,40
1178,653,3.8,13
1179,597,3.5,24
1180,75,4,70
1181,577,3.9,19
1182,431,4,63
1183,599,3.4,39
1184,201,3.8,63
1185,631,3.8,32
1186,177,3.9,18
1187,467,3.6,34
1188,69,3.7,39
1189,595,3.8,23
1190,47,3.5,44
1191,487,3.3,86
1192,483,3,55
1193,497,3.5,30
1194,41,3.2,30
1195,527,3.8,17
1196,389,3.9,23
1197,525,3.9,33
1198,565,3.9,16
1199,391,4,20
1200,267,3.9,66
1201,69,4,51
1202,619,3.1,28
1203,523,3.7,17
1204,89,3.9,40
1205,129,3.1,23
1206,139,3,79
1207,123,3.9,49
1208,69,3.9,22
1209,51,3.9,21
1210,47,3.8,11
1211,179,3.8,104
1212,403,3.5,14
1213,565,3.8,26
1214,273,3.8,14
1215,73,3.9,31
1216,505,3.1,26
1217,597,3.4,13
1218,581,3.4,20
1219,481,4,12
1220,559,3.9,24
1221,61,3.7,14
1222,573,3.5,28
1223,61,3.7,10
1224,69,3.6,42
1225,63,3.8,30
1226,41,3.4,12
1227,59,3.7,15
1228,217,3.7,32
1229,175,3.6,18
1230,595,3.6,18
1231,617,3.6,33
1232,555,3.1,18
1233,499,4,23
1234,593,3.3,16
1235,137,3.6,21
1236,51,4,16
1237,375,3.3,29
1238,599,2.7,41
1239,393,3.6,82
1240,137,3.9,37
1241,529,3.7,14
1242,367,3.9,46
1243,211,3.7,28
1244,553,3.8,18
1245,547,3.4,21
1246,595,3.6,35
1247,487,3.7,67
1248,127,2.5,11
1249,69,3.7,16
1250,501,3.8,16
1251,545,3.8,25
1252,331,3.7,24
1253,607,4,21
1254,69,3.8,16
1255,53,3.6,26
1256,497,3.7,54
1257,81,3.7,28
1258,79,3.3,121
1259,609,3.5,37
1260,477,3.3,19
1261,47,3.5,27
1262,587,3.3,12
1263,651,3.6,17
1264,409,3.7,37
1265,125,3.8,53
1266,625,3.4,27
1267,491,3.4,39
1268,61,3.9,14
1269,149,3.5,18
1270,59,3.7,41
1271,43,3.6,33
1272,441,3.8,22
1273,107,3.3,57
1274,527,4,17
1275,75,3.9,79
1276,573,3.7,14
1277,287,3.9,21
1278,217,3.9,54
1279,475,4,20
1280,423,3.4,20
1281,391,3.9,31
1282,143,4,12
1283,249,4,28
1284,487,3.4,51
1285,99,4,100
1286,41,3.7,26
1287,223,3,48
1288,573,4,27
1289,617,3.3,25
1290,131,3.2,22
1291,561,3.3,42
1292,553,3.3,20
1293,77,3.6,43
1294,545,4,25
1295,65,3.8,24
1296,47,3.8,33
1297,591,3.8,12
1298,327,3.9,20
1299,161,3.9,35
1300,261,3.8,17
1301,537,3.6,65
1302,127,3,22
1303,601,4,20
1304,347,3.9,18
1305,69,4,105
1306,41,3.6,17
1307,499,2.9,27
1308,41,3.1,25
1309,625,3.9,119
1310,553,3.8,20
1311,83,3.9,27
1312,545,4,32
1313,215,4,19
1314,599,3.7,40
1315,45,3.9,16
1316,555,3.8,30
1317,221,3.6,49
1318,201,3.8,13
1319,487,3.4,78
1320,103,3.7,34
1321,627,3.5,13
1322,239,3.8,10
1323,583,3.5,49
1324,599,3.8,49
1325,591,3.7,69
1326,553,3.7,48
1327,99,3.5,41
1328,389,3.3,30
1329,161,3.3,40
1330,603,3.4,13
1331,55,3.7,10
1332,69,3.5,40
1333,277,3.3,13
1334,81,3.9,74
1335,225,4,35
1336,573,3.8,19
1337,545,3.6,22
1338,497,3.9,14
1339,553,4,30
1340,207,3.9,48
1341,627,3.8,74
1342,509,3.9,50
1343,627,3.7,79
1344,101,3.8,22
1345,119,3.3,88
1346,153,3.8,22
1347,511,3.2,32
1348,69,3.7,10
1349,237,4,21
1350,41,3.6,28
1351,229,3.6,21
1352,405,3.3,17
1353,73,3.3,52
1354,43,3.8,39
1355,585,3.5,75
1356,549,3.8,51
1357,273,3,32
1358,521,3.3,16
1359,609,3.5,43
1360,617,3.9,19
1361,307,3.8,55
1362,213,4,89
1363,517,3.2,16
1364,185,3.1,76
1365,125,3,58
1366,189,3.6,27
1367,401,2.8,54
1368,577,3.7,42
1369,65,3.5,21
1370,155,3.6,43
1371,639,3.1,15
1372,137,3.2,21
1373,59,3.5,11
1374,537,4,35
1375,165,3.9,16
1376,595,3.9,21
1377,189,3.2,31
1378,561,3.8,20
1379,329,2.8,32
1380,291,3.9,30
1381,481,3.3,16
1382,525,3.6,52
1383,561,3.9,58
1384,617,3.9,23
1385,653,3.6,22
1386,577,3.3,29
1387,111,3.9,15
1388,325,3.6,19
1389,583,3.8,42
1390,587,3,48
1391,585,3.5,21
1392,213,3.3,49
1393,529,4,19
1394,615,3.2,27
1395,45,3.5,63
1396,649,3.6,17
1397,279,3.8,11
1398,609,3.9,21
1399,99,3.8,31
1400,117,3.7,28
1401,211,3.4,35
1402,55,3.4,19
1403,63,3.2,19
1404,587,3.7,71
1405,649,3.5,21
1406,195,3.9,20
1407,529,3.8,104
1408,99,3.8,23
1409,73,3.4,35
1410,365,3.6,78
1411,143,4,22
1412,479,3.4,18
1413,43,3.4,19
1414,421,3.1,17
1415,167,2.9,55
1416,617,3.5,30
1417,67,3.9,119
1418,601,3.6,50
1419,561,3.9,23
1420,593,3.6,21
1421,69,3.7,23
1422,545,3.9,65
1423,589,3.6,32
1424,593,3.8,19
1425,59,3.7,17
1426,625,3.9,41
1427,605,3.5,14
1428,41,3.9,18
1429,185,3.9,32
1430,405,3.8,47
1431,69,3.5,32
1432,535,3.3,43
1433,157,3.6,93
1434,63,3.7,12
1435,179,3.7,43
1436,537,3.6,19
